ID, TARGET
0,1
1,0
2,1
3,0
4,0
5,0
6,0
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,0
15,1
16,1
17,1
18,0
19,1
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,0
28,1
29,1
30,0
31,1
32,1
33,0
34,1
35,1
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,1
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,0
52,1
53,0
54,1
55,1
56,0
57,1
58,1
59,0
60,0
61,0
62,1
63,1
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,1
96,0
97,1
98,1
99,1
100,0
101,0
102,1
103,1
104,0
105,1
106,1
107,1
108,1
109,0
110,0
111,1
112,0
113,1
114,0
115,1
116,1
117,0
118,0
119,1
120,1
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,1
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,0
142,1
143,0
144,0
145,0
146,0
147,1
148,1
149,0
150,1
151,1
152,0
153,1
154,0
155,0
156,0
157,0
158,0
159,1
160,0
161,1
162,0
163,1
164,0
165,1
166,0
167,1
168,0
169,0
170,1
171,0
172,1
173,1
174,0
175,1
176,0
177,0
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,0
193,0
194,0
195,1
196,1
197,1
198,1
199,1
200,0
201,0
202,1
203,1
204,1
205,1
206,0
207,0
208,1
209,1
210,1
211,1
212,1
213,0
214,1
215,0
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,1
224,1
225,1
226,0
227,1
228,0
229,0
230,1
231,1
232,1
233,0
234,0
235,1
236,0
237,0
238,1
239,0
240,0
241,0
242,1
243,1
244,0
245,0
246,0
247,1
248,0
249,1
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,1
258,1
259,0
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,1
269,0
270,1
271,0
272,0
273,1
274,0
275,1
276,1
277,0
278,1
279,1
280,1
281,0
282,0
283,1
284,0
285,1
286,1
287,1
288,1
289,0
290,1
291,1
292,0
293,1
294,0
295,1
296,1
297,0
298,1
299,1
300,0
301,0
302,1
303,1
304,1
305,0
306,0
307,0
308,0
309,1
310,0
311,1
312,1
313,0
314,0
315,0
316,1
317,1
318,0
319,1
320,0
321,0
322,1
323,0
324,1
325,1
326,0
327,1
328,1
329,0
330,0
331,0
332,0
333,1
334,1
335,0
336,1
337,0
338,0
339,1
340,1
341,1
342,0
343,0
344,0
345,1
346,1
347,1
348,1
349,0
350,1
351,0
352,1
353,1
354,0
355,1
356,1
357,0
358,1
359,1
360,1
361,1
362,1
363,0
364,1
365,0
366,0
367,1
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,1
376,0
377,1
378,1
379,1
380,0
381,0
382,0
383,0
384,0
385,1
386,0
387,0
388,0
389,1
390,0
391,0
392,0
393,1
394,0
395,1
396,1
397,0
398,0
399,1
400,1
401,0
402,1
403,1
404,1
405,0
406,1
407,0
408,1
409,0
410,0
411,1
412,1
413,0
414,1
415,1
416,0
417,0
418,0
419,0
420,1
421,0
422,0
423,0
424,1
425,1
426,0
427,0
428,1
429,0
430,0
431,1
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,1
445,1
446,0
447,1
448,0
449,0
450,1
451,0
452,0
453,0
454,1
455,0
456,1
457,0
458,0
459,1
460,0
461,0
462,0
463,0
464,0
465,1
466,1
467,0
468,0
469,0
470,1
471,0
472,0
473,1
474,1
475,0
476,1
477,0
478,1
479,1
480,0
481,1
482,0
483,0
484,1
485,0
486,0
487,1
488,0
489,0
490,1
491,0
492,0
493,1
494,0
495,0
496,0
497,0
498,0
499,1
500,1
501,1
502,0
503,0
504,0
505,1
506,0
507,1
508,1
509,0
510,1
511,1
512,1
513,1
514,0
515,0
516,1
517,1
518,1
519,0
520,0
521,0
522,0
523,1
524,1
525,1
526,0
527,0
528,0
529,1
530,0
531,0
532,0
533,0
534,0
535,0
536,1
537,1
538,0
539,0
540,0
541,0
542,1
543,0
544,1
545,0
546,0
547,0
548,1
549,1
550,1
551,1
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,1
561,0
562,1
563,0
564,0
565,1
566,1
567,0
568,1
569,1
570,0
571,1
572,0
573,1
574,0
575,1
576,0
577,0
578,0
579,1
580,1
581,0
582,1
583,1
584,0
585,0
586,1
587,0
588,0
589,1
590,1
591,0
592,0
593,0
594,1
595,0
596,1
597,0
598,0
599,1
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,1
609,0
610,1
611,0
612,1
613,0
614,0
615,1
616,1
617,0
618,1
619,1
620,1
621,1
622,0
623,0
624,0
625,1
626,0
627,1
628,1
629,0
630,0
631,0
632,0
633,1
634,0
635,0
636,1
637,0
638,0
639,1
640,1
641,1
642,1
643,0
644,1
645,1
646,0
647,0
648,0
649,1
650,1
651,0
652,0
653,1
654,0
655,1
656,0
657,1
658,0
659,0
660,1
661,0
662,0
663,1
664,1
665,0
666,1
667,0
668,1
669,0
670,1
671,0
672,1
673,0
674,0
675,1
676,1
677,0
678,1
679,1
680,1
681,1
682,1
683,0
684,0
685,0
686,1
687,0
688,1
689,0
690,1
691,1
692,0
693,0
694,1
695,0
696,0
697,0
698,0
699,1
700,1
701,1
702,1
703,1
704,1
705,0
706,0
707,0
708,0
709,0
710,0
711,1
712,0
713,1
714,0
715,0
716,1
717,0
718,1
719,0
720,0
721,0
722,1
723,1
724,1
725,0
726,1
727,0
728,0
729,0
730,1
731,0
732,1
733,1
734,1
735,0
736,1
737,0
738,0
739,0
740,1
741,0
742,1
743,0
744,0
745,0
746,1
747,0
748,0
749,0
750,1
751,0
752,1
753,1
754,0
755,1
756,0
757,1
758,1
759,1
760,1
761,0
762,1
763,0
764,1
765,0
766,1
767,1
768,0
769,0
770,1
771,1
772,1
773,0
774,0
775,1
776,0
777,0
778,1
779,1
780,0
781,1
782,0
783,1
784,1
785,1
786,0
787,0
788,0
789,0
790,1
791,0
792,0
793,1
794,1
795,0
796,0
797,1
798,0
799,1
800,0
801,0
802,1
803,0
804,0
805,1
806,0
807,0
808,0
809,0
810,1
811,1
812,1
813,0
814,0
815,0
816,1
817,0
818,0
819,1
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,1
829,0
830,1
831,1
832,1
833,1
834,0
835,0
836,1
837,0
838,1
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,1
847,1
848,0
849,1
850,0
851,1
852,0
853,1
854,0
855,1
856,0
857,0
858,0
859,1
860,0
861,0
862,1
863,1
864,0
865,0
866,0
867,0
868,1
869,1
870,1
871,0
872,1
873,0
874,0
875,1
876,0
877,1
878,0
879,0
880,1
881,1
882,1
883,1
884,1
885,0
886,1
887,0
888,1
889,0
890,1
891,1
892,0
893,0
894,0
895,0
896,0
897,1
898,0
899,1
900,0
901,0
902,0
903,0
904,1
905,0
906,0
907,1
908,0
909,1
910,0
911,0
912,1
913,0
914,0
915,0
916,0
917,0
918,0
919,1
920,1
921,0
922,1
923,1
924,0
925,1
926,0
927,1
928,1
929,1
930,1
931,0
932,1
933,0
934,0
935,0
936,0
937,1
938,0
939,1
940,1
941,0
942,1
943,0
944,1
945,1
946,1
947,0
948,0
949,0
950,1
951,1
952,0
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,0
961,1
962,0
963,1
964,1
965,1
966,0
967,0
968,1
969,0
970,1
971,0
972,0
973,0
974,1
975,1
976,1
977,0
978,0
979,1
980,1
981,1
982,1
983,0
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,0
992,1
993,0
994,1
995,1
996,0
997,1
998,1
999,0
1000,0
1001,0
1002,1
1003,0
1004,1
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,1
1012,1
1013,1
1014,1
1015,0
1016,0
1017,0
1018,0
1019,1
1020,0
1021,1
1022,1
1023,0
1024,1
1025,0
1026,1
1027,0
1028,1
1029,1
1030,0
1031,0
1032,1
1033,1
1034,1
1035,0
1036,1
1037,0
1038,0
1039,1
1040,1
1041,0
1042,0
1043,0
1044,0
1045,1
1046,0
1047,1
1048,1
1049,0
1050,0
1051,0
1052,0
1053,1
1054,0
1055,0
1056,0
1057,0
1058,1
1059,0
1060,0
1061,0
1062,0
1063,1
1064,1
1065,0
1066,1
1067,0
1068,0
1069,1
1070,0
1071,0
1072,1
1073,1
1074,0
1075,0
1076,1
1077,0
1078,0
1079,0
1080,1
1081,0
1082,1
1083,0
1084,1
1085,0
1086,0
1087,1
1088,1
1089,0
1090,0
1091,1
1092,1
1093,0
1094,0
1095,1
1096,0
1097,0
1098,1
1099,1
1100,0
1101,1
1102,1
1103,1
1104,1
1105,0
1106,0
1107,0
1108,1
1109,0
1110,1
1111,0
1112,1
1113,1
1114,1
1115,1
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,1
1123,1
1124,1
1125,1
1126,1
1127,0
1128,1
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,1
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,1
1144,1
1145,1
1146,1
1147,0
1148,1
1149,0
1150,0
1151,0
1152,0
1153,1
1154,0
1155,0
1156,0
1157,0
1158,1
1159,1
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,0
1167,0
1168,1
1169,0
1170,0
1171,1
1172,0
1173,1
1174,0
1175,0
1176,1
1177,1
1178,0
1179,1
1180,0
1181,0
1182,1
1183,0
1184,1
1185,1
1186,1
1187,0
1188,1
1189,0
1190,0
1191,0
1192,0
1193,1
1194,0
1195,1
1196,1
1197,1
1198,0
1199,0
1200,0
1201,1
1202,1
1203,1
1204,0
1205,0
1206,0
1207,1
1208,0
1209,0
1210,0
1211,1
1212,0
1213,1
1214,1
1215,0
1216,0
1217,1
1218,0
1219,1
1220,1
1221,0
1222,1
1223,1
1224,0
1225,0
1226,0
1227,0
1228,0
1229,1
